link,page_number,product_title,product_link
https://veneria.pl/11-wibratory,1,,https://veneria.pl/body/17952-795-b112-body.html#/41-rozmiar-s_m_l
https://veneria.pl/11-wibratory,1,,https://veneria.pl/body/17821-570-841-ted-1-body.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/koszulki-nocne/18255-1378-adola-black-chemise-czarna-halka.html#/42-rozmiar-xl_xxl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/koszulki-nocne/18269-1419-orangina-black-chemise-czarna-halka-.html#/42-rozmiar-xl_xxl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/gorsety/18097-1071-859-cor-1-gorset-i-figi.html#/39-rozmiar-l_xl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/gorsety/17758-453-838-cor-3-gorset-i-stringi-czerwony.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/bodystocking/18026-934-bodystocking-g310.html#/42-rozmiar-xl_xxl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/bodystocking/17912-747-bodystocking-f217.html#/41-rozmiar-s_m_l
https://veneria.pl/11-wibratory,1,,https://veneria.pl/body/18254-1374-dagoma.html#/35-rozmiar-m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/komplety/18350-1719-cloda.html#/42-rozmiar-xl_xxl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/przebrania/18524-2291-schooly-kostium-5-czesciowy.html#/39-rozmiar-l_xl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/przebrania/17738-417-medica-sukienka-kostium-5-czesci.html#/39-rozmiar-l_xl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/stringi/18346-1703-aretusa.html#/34-rozmiar-s
https://veneria.pl/11-wibratory,1,,https://veneria.pl/pasy-do-ponczoch/34128-16976-a762-uprzaz.html#/42-rozmiar-xl_xxl
https://veneria.pl/11-wibratory,1,,https://veneria.pl/pasy-do-ponczoch/18182-1238-komplet-ponczochy-pasek-shadow-czarne.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/obuwie-erotyczne/18555-2399-kozaki-erotyczne-pole-dance-czarne.html#/50-rozmiar_buta-40
https://veneria.pl/11-wibratory,1,,https://veneria.pl/obuwie-erotyczne/18551-2367-buty-erotyczne-pole-dance-srebrne.html#/53-rozmiar_buta-35
https://veneria.pl/11-wibratory,1,,https://veneria.pl/biustonosz/42186-21636-shelf-bra.html#/90-rozmiar-85d
https://veneria.pl/11-wibratory,1,,https://veneria.pl/szlafrok/18295-1507-anthis.html#/36-rozmiar-l
https://veneria.pl/11-wibratory,1,,https://veneria.pl/szlafrok/17611-167-satinia-szlafrok-czarny.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/sukienki/18116-1107-rocker-sukienka-czarna.html#/41-rozmiar-s_m_l
https://veneria.pl/11-wibratory,1,,https://veneria.pl/sukienki/18222-1306-adios-black-bodystocking.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/ponczochy/18006-890-856-sto-1-ponczochy.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,,https://veneria.pl/ponczochy/17715-372-shibu-ponczochy-czarne.html#/38-rozmiar-s_m
https://veneria.pl/11-wibratory,1,BIAŁY STYMULATOR ŁECHTACZKI...,https://veneria.pl/wibratory/46884-cutie-ghost-white-4061504067766.html
https://veneria.pl/11-wibratory,1,NIEBIESKI STYMULATOR...,https://veneria.pl/wibratory/46883-cutie-ghost-blue-4061504067759.html
https://veneria.pl/11-wibratory,1,NIEBIESKI STYMULATOR...,https://veneria.pl/wibratory/46882-dew-drop-blue-4061504066936.html
