link,page_number,product_link,productname2
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46884-cutie-ghost-white-4061504067766.html,"Biały stymulator łechtaczki - Cutie Ghost - ciśnieniowy, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46883-cutie-ghost-blue-4061504067759.html,"Niebieski stymulator łechtaczki - Cutie Ghost - ciśnieniowy, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46882-dew-drop-blue-4061504066936.html,Niebieski stymulator łechtaczki - Dew Drop - na USB - Satisfyer
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46881-dew-drop-white-4061504066929.html,Biały stymulator łechtaczki - Dew Drop - na USB - Satisfyer
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46880-g-for-goddess-1-dark-grey-4061504065892.html,"Szary wibrator z króliczkeim - G for Goddess 1 - do stymulacji punktu G, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46879-g-for-goddess-1-white-4061504065885.html,"Biały wibrator z króliczkeim - G for Goddess 1 - do stymulacji punktu G, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46877-tap-climax-1-bluegrey-4061504046020.html,"Szary stymulator łechtaczki - Tap & Climax 1 - z funkcją stukania, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46876-tap-climax-1-grey-4061504046013.html,"Czarny stymulator łechtaczki - Tap & Climax 1 - z funkcją stukania, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46875-tap-climax-1-red-4061504046006.html,"Czerwony stymulator łechtaczki - Tap & Climax 1 - z funkcją stukania, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46874-pocket-pro-1-purple-4061504045177.html,"Bordowy stymulator łechtaczki - Pocket Pro 1 - ciśnieniowy, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46873-pocket-pro-1-blue-4061504045160.html,"Niebieski stymulator łechtaczki - Pocket Pro 1 - ciśnieniowy, USB - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46871-spot-on-2-white-4061504044316.html,"Biały stymulator łechtaczki - Spot On 2 - na USB, Silikonowy - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46870-spot-on-2-black-4061504044309.html,"Czarny stymulator łechtaczki - Spot On 2 - na USB, Silikonowy - Satisfyer"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46867-wibrator-patty-7-vibration-functions-7-ball-tapping-usb-5906233080701.html,"Fioletowy wibrator wielofunkcyjny ""Patty"" do stymulacji pochwy i odbytu - USB, Boss Series"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46866-wibrator-merfi-10-vibration-functions-10-frequency-tongue-licking-usb-5906233080695.html,"Czerwony stymulator ""Merfi"" do stymulacji punktu G i łechtaczki, USB Silikonowy - Boss Series"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46860-wibrator-ella-7-vibration-modes-3-thrusting-function-heating-5906233080633.html,"Fioletowy wibrator ""Ella"" z króliczkiem i funkcją pchania, USB Silikonowy - Boss Series"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wand/46789-double-sided-vibrating-wand-8714273049223.html,"Zielony masażer Wand z wibratorem do punktu G - 2w1 - dwustronny, USB - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46787-wearable-fingering-motion-vibrator-with-remote-control-8714273049193.html,"Różowy wibrator motylek sterowany pilotem bezprzewodowym, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46786-double-sided-flapping-and-g-spot-vibrator-8714273049186.html,"Różowy wibrator do stymulacji punktu G - dwustronny - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46785-flapping-g-spot-butterfly-vibrator-8714273049179.html,"Zielony wibrator z króliczkiem - Flapping G-Spot Butterfly - stymulujący punkt G, USB - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46784-small-wand-vibrator-8714273049162.html,"Różowy masażer Wand o kompaktowych wymiarach, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46781-thrusting-rabbit-vibrator-8714273049070.html,"Zielony wibrator z króliczkiem z funkcją pchania, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46780-double-sided-thrusting-vibrator-8714273049056.html,"Czerwony dwustronny wibrator z funkcją pchania, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46778-ultra-soft-silicone-g-spot-vibrator-8714273048974.html,"Różowy wibrator z króliczkiem stymulujący punkt G - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46695-2-f-rabbit-vibe-thrusting-vib-4024144453221.html,"Fioletowy wibrator z króliczkiem - 2 F. Rabbit Vibe - z funkcją pchania, USB Silikonowy - JAVIDA"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46694-3-frabbit-vibe-thrusting-thum-4024144453214.html,"Fioletowy wibrator z króliczkiem - 3 F.Rabbit Vibe - z funkcją pchania, USB Silikonowy - JAVIDA"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46676-g-spot-vibrator-with-clitoral-pulse-wave-8714273049292.html,Wibrator wielofunkcyjny do stymulacji punktu G i łechtaczki - USB Silikonowy - Loveline
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46674-tongue-flickering-and-heating-rabbit-vibrator-8714273048875.html,"Różowy wibrator z króliczkiem z funkcją podgrzewania - do punktu G - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46673-twitch-3-rechargeable-vibrator-suction-silicone-10-speed-forest-green-8714273054999.html,"Wielofunkcyjny wibrator dopochwowy - Twitch 3 - z trzema silniczkami - USB, Silikonowy - Shots"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46667-ad-couple-secrets-ii-app-8433345119366.html,"Wibrator wielofunkcyjny - Couple Secrets II + APP - sterowany aplikacją, USB - Adrien Lastic"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46665-gen-rechargeable-triple-action-g-spot-vibrator-with-pulse-wave-and-vibrating-bristles-purple-8714273054234.html,"Wibrator wielofunkcyjny - Gen - do stymulacji punktu G oraz łechtaczki, USB Silikonowy - Vive"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46664-gen-rechargeable-triple-action-g-spot-vibrator-with-pulse-wave-and-vibrating-bristles-pink-8714273054166.html,"Wibrator wielofunkcyjny - Gen - do stymulacji punktu G oraz łechtaczki, USB Silikonowy - Vive"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46663-riko-rechargeable-triple-action-vibrator-with-advanced-finger-motion-pulse-wave-stimulator-purple-8714273051875.html,"Fioletowy wibrator do punktu G - Riko - wielofunkcyjny, trzy silniki, USB Silikonowy - Vive"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46662-riko-rechargeable-triple-action-thumper-with-advanced-finger-motion-pulse-wave-stimulator-pink-8714273051868.html,"Różowy wibrator do punktu G - Riko - wielofunkcyjny, trzy silniki, USB Silikonowy - Vive"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46595-travel-vibrator-with-lube-compartment-and-pump-8714273049407.html,"Wibrator klasyczny z przegródką na lubrykant - 2w1 - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46594-tapping-heart-vibrator-8714273049391.html,"Różowy stymulator łechtaczki i punktu G - Tapping Heart - w kształcie serca, USB - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46592-mini-rabbit-vibrator-with-usb-charger-8714273049377.html,"Różowy wibrator - Mini Rabbit - stymulujący łechtaczkę, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46590-ribbed-mini-vibrator-8714273049353.html,"Niebieski mini wibrator dopochwowy na USB - Silikonowy, Ribbed Mini - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46588-mini-rabbit-vibrator-8714273049339.html,"Niebieski mini wibrator z króliczkiem - stymulujący punkt G - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,1,https://veneria.pl/wibratory/46586-pulse-wave-clitoris-vibrator-8714273049315.html,"Niebieski stymulator ciśnieniowy - Pulse Wave Clitoris - na USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46584-ultra-soft-silicone-rabbit-vibrator-8714273049285.html,"Cielisty wibrator z króliczkiem do stymulacji punktu G, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46583-ultra-soft-silicone-rabbit-vibrator-8714273049278.html,"Różowy wibrator z króliczkiem do stymulacji punktu G, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46582-rotating-beads-rabbit-vibrator-8714273049261.html,"Różowy wibrator z króliczkiem z funkcją rotacji, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/dildo-do-strapon/46581-ultra-soft-silicone-rotating-g-spot-vibrator-8714273049254.html,"Fioletowy wibrator do stymulacji punktu G - z rotacjami, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46580-ultra-soft-silicone-rotating-rabbit-vibrator-8714273049247.html,Zielony wibrator z króliczkiem z funkcją rotacji - stymulujący punkt G - USB - Loveline
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46579-fingering-motion-rabbit-vibrator-8714273049230.html,"Szary wibrator z króliczkiem - Fingering Motion - stymulujący punkt G, USB - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46578-swinging-rabbit-g-spot-vibrator-8714273049216.html,"Czerwony wibrator z króliczkiem - Swinging Rabbit - stymulujący punkt G, USB - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46576-3-up-and-down-moving-rings-vibrator-8714273049131.html,"Wibrator z króliczkiem z funkcją ruchów posuwistych, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46575-g-spot-vibrator-with-bead-8714273049087.html,"Zielony wibrator do punktu G - G-Spot - designerski, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46568-ultra-soft-silicone-g-spot-vibrator-8714273048967.html,"Fioletowy wibrator do stymulacji punktu G - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46567-inflatable-rabbit-vibrator-8714273048950.html,"Zielony wibrator z króliczkiem z funkcją pompowania, USB Silikonowy - Lovelline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46566-silicone-tip-vibrator-8714273048943.html,"Fioletowy stymulator do punktów erogennych - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46565-silicone-rabbit-vibrator-with-ribbed-clitoral-stimulator-8714273048936.html,"Pomarańczowy wibrator z króliczkiem stymulujący punkt G - USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46564-silicone-rabbit-vibrator-8714273048929.html,"Beżowy wibrator z króliczkiem stymulujący punkt G, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46563-silicone-pointed-rabbit-vibrator-8714273048912.html,"Niebieski wibrator z króliczkiem - Pointed Rabbit - stymulujący punkt G, USB - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46562-silicone-smooth-vibrator-8714273048905.html,"Czerwony wibrator dopochwowy - Smooth Vibrator - na USB, Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46561-silicone-g-spot-vibrator-8714273048899.html,"Żółty wibrator do stymulacji punktu G, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46560-licking-and-vibrating-clitoral-stimulator-8714273048882.html,"Zielony stymulator łechtaczki z języczkiem, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46558-pulse-wave-and-tongue-flickering-rabbit-vibrator-8714273048851.html,Zielony wibrator z ciśnieniowym króliczkiem - Pulse Wave and Tongue - USB Silikonowy - Loveline
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46557-powerful-wand-vibrator-8714273048844.html,"Czarny masażer Wand do stymulacji miejsc erogennych, USB Silikonowy - Loveline"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46555-twitch-3-rechargeable-vibrator-suction-silicone-10-speed-burgundy-8714273054982.html,"Wielofunkcyjny wibrator dopochwowy - Twitch 3 - z trzema silniczkami - USB, Silikonowy - Shots"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46554-twitch-3-rechargeable-vibrator-suction-silicone-10-speed-blue-grey-8714273054975.html,"Wielofunkcyjny wibrator dopochwowy - Twitch 3 - z trzema silniczkami - USB, Silikonowy - Shots"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46546-power-escorts-pink-g-spot-princess-18-cm-7-inch-silicone-g-spot-vibrator-8716718096854.html,"Różowy wibrator - G Spot Princess - 18 Cm - stymulujący punkt G, USB Silikonowy"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46144-wowgenie-violet-fairygasm-5906196160458.html,"Fioletowy wibrator - WowGenie - klasyczny, dopochwowy, USB Silikonowy - FairyGasm"
https://veneria.pl/11-wibratory,2,https://veneria.pl/wibratory/46143-wowgenie-green-fairygasm-5906196160441.html,"Zielony wibrator - WowGenie - klasyczny, dopochwowy, USB Silikonowy - FairyGasm"
