Supplier,GTIN,Name,Category,Brand,Product Link,position
N/A,6290171002338,Afnan 9 PM Eau De Parfum 100ml,Eau De Parfum,Afnan,https://static.prod.qogita.com/files/images/variants/VhLdYFBqgAFfk8ps9Jitu8.jpg,1
N/A,6291108735411,Men's Asad Eau De Parfum Spray 3.4 oz Fragrances,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/JojSNinawipnDA6qqRqPu8.jpg,2
N/A,6290360594552,Lattafa Yara TOUS,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/P4zjkm7h3XnGof6crSS3hV.jpg,3
N/A,6290360591421,Yara Moi by Lattafa 100ml Eau De Perfume Spray,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/k4ZCsCAXWYWEKeGcHKC3J2.jpg,4
N/A,3423470300161,Issey Miyake L'eau D'Issey Eau De Toilette Fragrance Spray 100 ml,Eau De Toilette,Issey Miyake,https://static.prod.qogita.com/files/images/variants/ja7TnKDdyFovWJwQ77Eb9q.jpg,5
N/A,6291107458328,Lattafa Oud For Glory Bade'e Al Oud Eau De Parfum 100ml Unisex,Eau De Parfum,Zkmagic,https://static.prod.qogita.com/files/images/variants/ZCzydkyUnymj9YesimstfW.jpg,6
N/A,6291108730515,Yara by Lattafa Perfumes Eau De Parfum 100ml 3.4 fl oz for Women,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/TWttPXFk3XuSBGeaRmb2jj.jpg,7
N/A,3423470890020,Narciso Rodriguez For Her Eau de Toilette 100ml,Eau De Toilette,Narciso Rodriguez,https://static.prod.qogita.com/files/images/variants/QFbedQR4K3BSe36KiRSuzc.jpg,8
N/A,3508441001114,Aventus by Creed Eau De Parfum 100ml Musk,Eau De Parfum,Creed,https://static.prod.qogita.com/files/images/variants/P2ZFHzppJDdobdgCY9xFXm.jpg,9
N/A,6291108737194,Khamrah Eau De Parfum Unisex 100ml Vanilla Sweet Warm Spicy Woody by Lattafa Perfumes,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/hwtict9pmM4WTa3aiMDGhV.jpg,10
N/A,6085010044712,Armaf Club De Nuit Intense Man 105ml/3.6oz Eau de Toilette Cologne Spray for Men Floral 105ml,Eau De Toilette,Armaf,https://static.prod.qogita.com/files/images/variants/2h9t9tGNtYLxpkmxR8bGX4.jpg,11
N/A,8011003993826,Versace Bright Crystal Women's Perfume EDT,Eau De Toilette,Versace,https://static.prod.qogita.com/files/images/variants/TkBVaD7ysCWFtboqh2ouSF.jpg,12
N/A,3349666007921,Paco Rabanne 1 Million For Men 3.4 Oz Edt Spray 100ml,Eau De Toilette,Paco Rabanne,https://static.prod.qogita.com/files/images/variants/4m32DiKAePkiZNyx4jpHnQ.jpg,13
N/A,3423470890129,Narciso Rodriguez Edp vapo to spray 100ml,Eau De Parfum,Narciso Rodriguez,https://static.prod.qogita.com/files/images/variants/5Uv5HD7seC7w3RTgqzjvLw.jpg,14
N/A,0020714999346,Aromatics Elixir by Clinique Eau de Parfum For Women 100ml,Eau De Parfum,Clinique,https://static.prod.qogita.com/files/images/variants/ewtaZYerwnQdZiBvwXyKbq.jpg,15
N/A,6291107456041,LATTAFA FAKHAR by Lattafa Eau de Parfum Spray 3.4 oz,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/7J8pi6Saxg6uHJrmQfXk3i.jpg,16
N/A,6291107456058,Lattafa Fakhar Men Eau De Parfum - 100ml,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/NFLUmmCQ7LLFKadEDJhoEq.jpg,17
